X1,Y1,Frames,ONX1,ONY1,Frames2
41.773,342.23,460,NaN,NaN,460
41.773,342.23,461,NaN,NaN,461
41.773,342.23,462,NaN,NaN,462
41.773,342.23,463,NaN,NaN,463
41.773,342.23,464,NaN,NaN,464
41.773,342.23,465,NaN,NaN,465
41.773,342.23,466,NaN,NaN,466
41.773,342.23,467,NaN,NaN,467
41.773,342.23,468,NaN,NaN,468
41.773,342.23,469,NaN,NaN,469
41.773,342.23,470,NaN,NaN,470
41.773,342.23,471,NaN,NaN,471
41.773,342.23,472,NaN,NaN,472
41.773,342.23,473,NaN,NaN,473
41.773,342.23,474,NaN,NaN,474
41.773,342.23,475,NaN,NaN,475
41.773,342.23,476,NaN,NaN,476
41.773,342.23,477,NaN,NaN,477
41.773,342.23,478,NaN,NaN,478
41.773,342.23,479,NaN,NaN,479
41.773,342.23,480,NaN,NaN,480
41.773,342.23,481,NaN,NaN,481
41.773,342.23,482,NaN,NaN,482
41.773,342.23,483,NaN,NaN,483
41.773,342.23,484,NaN,NaN,484
41.773,342.23,485,NaN,NaN,485
41.773,342.23,486,NaN,NaN,486
41.773,342.23,487,NaN,NaN,487
41.773,342.23,488,NaN,NaN,488
41.773,342.23,489,NaN,NaN,489
41.773,342.23,490,NaN,NaN,490
41.773,342.23,491,NaN,NaN,491
41.773,342.23,492,NaN,NaN,492
41.773,342.23,493,NaN,NaN,493
41.773,342.23,494,NaN,NaN,494
41.773,342.23,495,NaN,NaN,495
41.773,342.23,496,NaN,NaN,496
41.773,342.23,497,NaN,NaN,497
41.773,342.23,498,NaN,NaN,498
41.773,342.23,499,NaN,NaN,499
41.773,342.23,500,NaN,NaN,500
41.773,342.23,501,NaN,NaN,501
41.773,342.23,502,NaN,NaN,502
41.773,342.23,503,NaN,NaN,503
41.773,342.23,504,NaN,NaN,504
41.773,342.23,505,NaN,NaN,505
41.773,342.23,506,NaN,NaN,506
41.773,342.23,507,NaN,NaN,507
41.773,342.23,508,NaN,NaN,508
41.773,342.23,509,NaN,NaN,509
41.773,342.23,510,NaN,NaN,510
41.773,342.23,511,NaN,NaN,511
41.773,342.23,512,NaN,NaN,512
41.773,342.23,513,NaN,NaN,513
41.773,342.23,514,NaN,NaN,514
41.773,342.23,515,NaN,NaN,515
41.773,342.23,516,NaN,NaN,516
41.773,342.23,517,NaN,NaN,517
41.773,342.23,518,NaN,NaN,518
41.773,342.23,519,NaN,NaN,519
41.773,342.23,520,NaN,NaN,520
41.773,342.23,521,NaN,NaN,521
41.773,342.23,522,NaN,NaN,522
41.773,342.23,523,NaN,NaN,523
41.773,342.23,524,NaN,NaN,524
41.773,342.23,525,NaN,NaN,525
41.773,342.23,526,NaN,NaN,526
41.773,342.23,527,NaN,NaN,527
41.816,342.3,528,NaN,NaN,528
41.816,342.3,529,NaN,NaN,529
41.816,342.3,530,NaN,NaN,530
41.816,342.3,531,NaN,NaN,531
41.816,342.3,532,NaN,NaN,532
41.816,342.3,533,NaN,NaN,533
41.816,342.3,534,NaN,NaN,534
41.816,342.3,535,NaN,NaN,535
41.816,342.3,536,NaN,NaN,536
41.816,342.3,537,NaN,NaN,537
41.816,342.3,538,NaN,NaN,538
41.816,342.3,539,NaN,NaN,539
41.816,342.3,540,NaN,NaN,540
41.816,342.3,541,NaN,NaN,541
41.816,342.3,542,NaN,NaN,542
41.816,342.3,543,NaN,NaN,543
41.816,342.3,544,NaN,NaN,544
41.816,342.3,545,NaN,NaN,545
41.816,342.3,546,NaN,NaN,546
41.816,342.3,547,NaN,NaN,547
41.816,342.3,548,NaN,NaN,548
41.816,342.3,549,NaN,NaN,549
41.816,342.3,550,NaN,NaN,550
41.816,342.3,551,NaN,NaN,551
41.816,342.3,552,NaN,NaN,552
41.816,342.3,553,NaN,NaN,553
41.816,342.3,554,NaN,NaN,554
41.816,342.3,555,NaN,NaN,555
41.816,342.3,556,NaN,NaN,556
41.816,342.3,557,NaN,NaN,557
41.816,342.3,558,NaN,NaN,558
41.816,342.3,559,NaN,NaN,559
41.816,342.3,560,NaN,NaN,560
41.816,342.3,561,NaN,NaN,561
41.816,342.3,562,NaN,NaN,562
41.816,342.3,563,NaN,NaN,563
41.816,342.3,564,NaN,NaN,564
41.816,342.3,565,NaN,NaN,565
41.816,342.3,566,NaN,NaN,566
41.816,342.3,567,NaN,NaN,567
41.816,342.3,568,NaN,NaN,568
41.816,342.3,569,NaN,NaN,569
41.816,342.3,570,NaN,NaN,570
41.816,342.3,571,NaN,NaN,571
41.816,342.3,572,NaN,NaN,572
41.816,342.3,573,NaN,NaN,573
41.816,342.3,574,NaN,NaN,574
41.816,342.3,575,NaN,NaN,575
41.816,342.3,576,NaN,NaN,576
41.816,342.3,577,NaN,NaN,577
41.816,342.3,578,NaN,NaN,578
41.816,342.3,579,NaN,NaN,579
41.816,342.3,580,NaN,NaN,580
41.816,342.3,581,NaN,NaN,581
41.816,342.3,582,NaN,NaN,582
41.816,342.3,583,NaN,NaN,583
41.816,342.3,584,NaN,NaN,584
41.816,342.3,585,NaN,NaN,585
41.816,342.3,586,NaN,NaN,586
41.816,342.3,587,NaN,NaN,587
41.816,342.3,588,NaN,NaN,588
